Study,Format,Model,Factor_Domain,N_Items,N_Participants,Alpha,Omega,CFI,TLI,RMSEA,SRMR,Chi_Square,DF,P_Value
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Agreeableness,8,438,0.834,0.592,0.626,0.477,0.373,0.288,1236.72,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Conscientiousness,8,438,0.834,0.703,0.616,0.462,0.292,0.197,767.389,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Extraversion,8,438,0.82,0.718,0.376,0.126,0.405,0.236,1460.383,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Neuroticism,8,438,0.742,0.51,0.749,0.648,0.294,0.198,775.234,20,0
STUDY_2,likert,bfi_to_minimarker_openai_gpt_3.5_turbo_0125,Openness,8,438,0.843,0.841,0.661,0.525,0.307,0.127,846.061,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Agreeableness,8,438,0.976,0.898,0.697,0.576,0.566,0.118,2822.896,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Conscientiousness,8,438,0.983,0.987,0.849,0.789,0.391,0.025,1356.576,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Extraversion,8,438,0.996,0.996,0.878,0.829,0.429,0.007,1630.11,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Neuroticism,8,438,0.982,0.989,0.857,0.8,0.395,0.033,1384.598,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_deepseek_temp1_0,Openness,8,438,0.975,0.962,0.771,0.68,0.445,0.068,1754.923,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Agreeableness,8,438,0.98,0.975,0.949,0.929,0.189,0.027,333.683,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Conscientiousness,8,438,0.988,0.992,0.98,0.972,0.144,0.007,202.22,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Extraversion,8,438,0.995,0.996,0.971,0.959,0.186,0.005,323.246,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Neuroticism,8,438,0.961,0.947,0.831,0.764,0.375,0.145,1253.61,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4_temp1_0,Openness,8,438,0.972,0.974,0.933,0.907,0.199,0.028,365.43,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Agreeableness,8,438,0.977,0.963,0.84,0.775,0.33,0.056,975.38,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Conscientiousness,8,438,0.988,0.988,0.962,0.946,0.196,0.015,357.768,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Extraversion,8,438,0.995,0.989,0.929,0.9,0.305,0.014,833.661,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Neuroticism,8,438,0.996,0.997,0.961,0.945,0.229,0.005,477.873,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_gpt_4o_temp1_0,Openness,8,438,0.985,0.983,0.889,0.845,0.297,0.025,791.241,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Agreeableness,8,438,0.966,0.898,0.601,0.441,0.607,0.141,3244.266,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Conscientiousness,8,438,0.98,0.976,0.854,0.796,0.398,0.03,1409.292,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Extraversion,8,438,0.996,0.999,0.949,0.928,0.287,0.003,741.86,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Neuroticism,8,438,0.953,0.98,0.777,0.688,0.429,0.116,1628.752,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_llama_temp1_0,Openness,8,438,0.958,0.972,0.754,0.655,0.413,0.09,1513.545,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Agreeableness,8,438,0.862,0.775,0.796,0.715,0.249,0.174,562.116,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Conscientiousness,8,438,0.935,0.915,0.712,0.596,0.359,0.139,1147.917,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Extraversion,8,438,0.984,0.984,0.928,0.899,0.255,0.028,587.55,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Neuroticism,8,438,0.813,0.262,0.362,0.107,0.409,0.285,1484.583,20,0
STUDY_2,unknown,bfi_to_minimarker_binary_openai_gpt_3.5_turbo_0125_temp1_0,Openness,8,438,0.89,0.882,0.831,0.764,0.221,0.115,449.043,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Conscientiousness,8,200,0.982,0.988,0.885,0.839,0.338,0.017,477.436,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Extraversion,8,200,0.994,0.991,0.871,0.819,0.406,0.017,679.598,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Neuroticism,8,200,0.982,0.984,0.887,0.842,0.336,0.039,471.77,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_deepseek_temp1,Openness,8,200,0.979,0.953,0.794,0.712,0.421,0.065,727.342,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Agreeableness,8,200,0.973,0.964,0.952,0.933,0.171,0.035,136.858,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Conscientiousness,8,200,0.989,0.993,0.988,0.983,0.115,0.004,72.481,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Extraversion,8,200,0.993,0.994,0.978,0.969,0.156,0.006,116.748,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Neuroticism,8,200,0.965,0.949,0.834,0.768,0.379,0.134,595.752,20,0
STUDY_3,binary_elaborated,bfi_to_minimarker_binary_gpt_4_temp1,Openness,8,200,0.973,0.976,0.944,0.921,0.182,0.025,153.175,20,0
